2025-12-10 19:51:56 | INFO | p_infrared_camera | ProcessMonitor:monitored_target:311 | p_infrared_camera 开始执行任务  
2025-12-10 20:39:36 | INFO | p_infrared_camera | ThemeManager:_init_themes:66 | ThemeManger:instance._current_theme:  light  
2025-12-10 20:39:36 | INFO | p_infrared_camera | main_infrared_camera:load_global_setting:715 | 相机连接开始时间：2025-12-10 20:39:36.646  
2025-12-10 20:39:36 | WARNING | p_infrared_camera | MyQThread:run:85 | main_infrared_camera_read_queue_data_thread thread 50940 has been started！  
2025-12-10 20:44:59 | INFO | p_infrared_camera | ProcessMonitor:monitored_target:311 | p_infrared_camera 开始执行任务  
2025-12-10 20:44:59 | INFO | p_infrared_camera | ProcessMonitor:monitored_target:312 | p_infrared_camera, target_func 是: <function main at 0x0000017EE51B6840>  
2025-12-10 20:44:59 | INFO | p_infrared_camera | ProcessMonitor:monitored_target:313 | p_infrared_camera, target_func 参数个数: 1  
2025-12-10 20:44:59 | INFO | p_infrared_camera | ProcessMonitor:monitored_target:314 | p_infrared_camera, args 内容: (<multiprocessing.queues.Queue object at 0x0000017EE51BF050>,)  
2025-12-10 20:44:59 | INFO | p_infrared_camera | ProcessMonitor:monitored_target:315 | p_infrared_camera, args 长度: 1  
2025-12-10 20:44:59 | INFO | p_infrared_camera | main_infrared_camera:main:815 | ------------------------------infrared_camera_start------------------------------  
2025-12-10 20:44:59 | INFO | p_infrared_camera | main_infrared_camera:main:816 | Service.main_infrared_camera | main_infrared_camera.py|49916|49908  
2025-12-10 20:44:59 | INFO | p_infrared_camera | global_load:load_global_setting_without_Qt:69 | gui配置文件读取成功。  
2025-12-10 20:44:59 | INFO | p_infrared_camera | global_load:load_global_setting_without_Qt:78 | 相机配置文件读取成功。  
2025-12-10 20:44:59 | INFO | p_infrared_camera | global_load:load_global_setting_without_Qt:87 | 监控配置文件读取成功。  
2025-12-10 20:44:59 | INFO | p_infrared_camera | ThemeManager:_init_themes:66 | ThemeManger:instance._current_theme:  light  
2025-12-10 20:44:59 | INFO | p_infrared_camera | main_infrared_camera:load_global_setting:715 | 相机连接开始时间：2025-12-10 20:44:59.736  
2025-12-10 20:44:59 | WARNING | p_infrared_camera | MyQThread:run:85 | main_infrared_camera_read_queue_data_thread thread 33664 has been started！  
2025-12-10 20:45:35 | INFO | p_infrared_camera | ProcessMonitor:monitored_target:311 | p_infrared_camera 开始执行任务  
2025-12-10 20:45:35 | INFO | p_infrared_camera | ProcessMonitor:monitored_target:312 | p_infrared_camera, target_func 是: <function main at 0x000001A262FFA840>  
2025-12-10 20:45:35 | INFO | p_infrared_camera | ProcessMonitor:monitored_target:313 | p_infrared_camera, target_func 参数个数: 1  
2025-12-10 20:45:35 | INFO | p_infrared_camera | ProcessMonitor:monitored_target:314 | p_infrared_camera, args 内容: (<multiprocessing.queues.Queue object at 0x000001A263002D90>,)  
2025-12-10 20:45:35 | INFO | p_infrared_camera | ProcessMonitor:monitored_target:315 | p_infrared_camera, args 长度: 1  
2025-12-10 20:45:35 | INFO | p_infrared_camera | main_infrared_camera:main:815 | ------------------------------infrared_camera_start------------------------------  
2025-12-10 20:45:35 | INFO | p_infrared_camera | main_infrared_camera:main:816 | Service.main_infrared_camera | main_infrared_camera.py|42640|50284  
2025-12-10 20:45:35 | INFO | p_infrared_camera | global_load:load_global_setting_without_Qt:69 | gui配置文件读取成功。  
2025-12-10 20:45:35 | INFO | p_infrared_camera | global_load:load_global_setting_without_Qt:78 | 相机配置文件读取成功。  
2025-12-10 20:45:35 | INFO | p_infrared_camera | global_load:load_global_setting_without_Qt:87 | 监控配置文件读取成功。  
2025-12-10 20:45:35 | INFO | p_infrared_camera | ThemeManager:_init_themes:66 | ThemeManger:instance._current_theme:  light  
2025-12-10 20:45:35 | INFO | p_infrared_camera | main_infrared_camera:load_global_setting:715 | 相机连接开始时间：2025-12-10 20:45:35.041  
2025-12-10 20:45:35 | WARNING | p_infrared_camera | MyQThread:run:85 | main_infrared_camera_read_queue_data_thread thread 49396 has been started！  
2025-12-10 20:53:09 | INFO | p_infrared_camera | ProcessMonitor:monitored_target:311 | p_infrared_camera 开始执行任务  
2025-12-10 20:53:09 | INFO | p_infrared_camera | ProcessMonitor:monitored_target:312 | p_infrared_camera, target_func 是: <function main at 0x000002773FEF6840>  
2025-12-10 20:53:09 | INFO | p_infrared_camera | ProcessMonitor:monitored_target:313 | p_infrared_camera, target_func 参数个数: 1  
2025-12-10 20:53:09 | INFO | p_infrared_camera | ProcessMonitor:monitored_target:314 | p_infrared_camera, args 内容: (<multiprocessing.queues.Queue object at 0x000002773FF02F10>,)  
2025-12-10 20:53:09 | INFO | p_infrared_camera | ProcessMonitor:monitored_target:315 | p_infrared_camera, args 长度: 1  
2025-12-10 20:53:09 | INFO | p_infrared_camera | main_infrared_camera:main:815 | ------------------------------infrared_camera_start------------------------------  
2025-12-10 20:53:09 | INFO | p_infrared_camera | main_infrared_camera:main:816 | Service.main_infrared_camera | main_infrared_camera.py|48400|48956  
2025-12-10 20:53:09 | INFO | p_infrared_camera | global_load:load_global_setting_without_Qt:69 | gui配置文件读取成功。  
2025-12-10 20:53:09 | INFO | p_infrared_camera | global_load:load_global_setting_without_Qt:78 | 相机配置文件读取成功。  
2025-12-10 20:53:09 | INFO | p_infrared_camera | global_load:load_global_setting_without_Qt:87 | 监控配置文件读取成功。  
2025-12-10 20:53:09 | INFO | p_infrared_camera | ThemeManager:_init_themes:66 | ThemeManger:instance._current_theme:  light  
2025-12-10 20:53:09 | INFO | p_infrared_camera | main_infrared_camera:load_global_setting:715 | 相机连接开始时间：2025-12-10 20:53:09.423  
2025-12-10 20:53:09 | WARNING | p_infrared_camera | MyQThread:run:85 | main_infrared_camera_read_queue_data_thread thread 45112 has been started！  
2025-12-10 20:56:38 | INFO | p_infrared_camera | ProcessMonitor:monitored_target:311 | p_infrared_camera 开始执行任务  
2025-12-10 20:56:38 | INFO | p_infrared_camera | ProcessMonitor:monitored_target:312 | p_infrared_camera, target_func 是: <function main at 0x000002C715B3A840>  
2025-12-10 20:56:38 | INFO | p_infrared_camera | ProcessMonitor:monitored_target:313 | p_infrared_camera, target_func 参数个数: 1  
2025-12-10 20:56:38 | INFO | p_infrared_camera | ProcessMonitor:monitored_target:314 | p_infrared_camera, args 内容: (<multiprocessing.queues.Queue object at 0x000002C715B42C50>,)  
2025-12-10 20:56:38 | INFO | p_infrared_camera | ProcessMonitor:monitored_target:315 | p_infrared_camera, args 长度: 1  
2025-12-10 20:56:38 | INFO | p_infrared_camera | main_infrared_camera:main:815 | ------------------------------infrared_camera_start------------------------------  
2025-12-10 20:56:38 | INFO | p_infrared_camera | main_infrared_camera:main:816 | Service.main_infrared_camera | main_infrared_camera.py|5092|53588  
2025-12-10 20:56:38 | INFO | p_infrared_camera | global_load:load_global_setting_without_Qt:69 | gui配置文件读取成功。  
2025-12-10 20:56:38 | INFO | p_infrared_camera | global_load:load_global_setting_without_Qt:78 | 相机配置文件读取成功。  
2025-12-10 20:56:38 | INFO | p_infrared_camera | global_load:load_global_setting_without_Qt:87 | 监控配置文件读取成功。  
2025-12-10 20:56:38 | INFO | p_infrared_camera | ThemeManager:_init_themes:66 | ThemeManger:instance._current_theme:  light  
2025-12-10 20:56:38 | INFO | p_infrared_camera | main_infrared_camera:load_global_setting:715 | 相机连接开始时间：2025-12-10 20:56:38.335  
2025-12-10 20:56:38 | WARNING | p_infrared_camera | MyQThread:run:85 | main_infrared_camera_read_queue_data_thread thread 8856 has been started！  
